DepartamentoCodigo,Departamento,MunicipioCodigo,Municipio,Año,IRCA,Nivel de riesgo,IRCAurbano,Nivel de riesgo urbano,IRCArural,Nivel de riesgo rural
70,Sucre,70235,Galeras,2017,53,Riesgo alto,48.5,Riesgo alto,ND,ND
70,Sucre,70235,Galeras,2018,12,Riesgo bajo,12.0,Riesgo bajo,ND,ND
70,Sucre,70235,Galeras,2019,18.8,Riesgo medio,ND,ND,ND,ND
70,Sucre,70235,Galeras,2020,50,Riesgo alto,50.0,Riesgo alto,ND,ND
70,Sucre,70235,Galeras,2021,13.1,Riesgo bajo,13.1,Riesgo bajo,ND,ND
70,Sucre,70235,Galeras,2022,8.1,Riesgo bajo,8.1,Riesgo bajo,ND,ND
70,Sucre,70235,Galeras,2023,4.6,Sin riesgo,4.6,Sin riesgo,ND,ND
70,Sucre,70265,Guaranda,2007,54.8,Riesgo alto,54.8,Riesgo alto,ND,ND
70,Sucre,70265,Guaranda,2008,36.8,Riesgo alto,36.8,Riesgo alto,ND,ND
70,Sucre,70265,Guaranda,2009,41,Riesgo alto,41.0,Riesgo alto,ND,ND
70,Sucre,70265,Guaranda,2010,39.2,Riesgo alto,39.2,Riesgo alto,ND,ND
73,Tolima,73616,Rioblanco,2010,2.6,Sin riesgo,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2011,7.4,Riesgo bajo,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2012,14.9,Riesgo medio,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2013,11.6,Riesgo bajo,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2014,14.3,Riesgo medio,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2015,16.5,Riesgo medio,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2016,13.3,Riesgo bajo,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2017,16.4,Riesgo medio,ND,ND,ND,ND
73,Tolima,73616,Rioblanco,2018,4.7,Sin riesgo,4.7,Sin riesgo,ND,ND
73,Tolima,73616,Rioblanco,2019,6.1,Riesgo bajo,6.1,Riesgo bajo,ND,ND
73,Tolima,73616,Rioblanco,2020,0,Sin riesgo,0.0,Sin riesgo,ND,ND
73,Tolima,73616,Rioblanco,2021,9.9,Riesgo bajo,9.9,Riesgo bajo,ND,ND
73,Tolima,73616,Rioblanco,2022,2.1,Sin riesgo,2.1,Sin riesgo,ND,ND
73,Tolima,73616,Rioblanco,2023,1.2,Sin riesgo,1.2,Sin riesgo,ND,ND
73,Tolima,73622,Roncesvalles,2007,30.1,Riesgo medio,ND,ND,ND,ND
73,Tolima,73622,Roncesvalles,2008,70.3,Riesgo alto,ND,ND,ND,ND
73,Tolima,73622,Roncesvalles,2009,66.1,Riesgo alto,ND,ND,ND,ND
73,Tolima,73622,Roncesvalles,2010,69.3,Riesgo alto,ND,ND,ND,ND
05,Antioquia,05001,Medellín,2007,2.3,Sin riesgo,0.2,Sin riesgo,3.9,Sin riesgo
05,Antioquia,05001,Medellín,2008,1.8,Sin riesgo,0.1,Sin riesgo,4.0,Sin riesgo
05,Antioquia,05001,Medellín,2009,1.3,Sin riesgo,0.4,Sin riesgo,2.7,Sin riesgo
05,Antioquia,05001,Medellín,2010,1.4,Sin riesgo,0.5,Sin riesgo,2.6,Sin riesgo
05,Antioquia,05001,Medellín,2011,1.9,Sin riesgo,0.5,Sin riesgo,3.6,Sin riesgo
05,Antioquia,05001,Medellín,2012,0.4,Sin riesgo,0.0,Sin riesgo,0.8,Sin riesgo
05,Antioquia,05001,Medellín,2013,0,Sin riesgo,ND,ND,0.0,Sin riesgo
05,Antioquia,05001,Medellín,2014,1.8,Sin riesgo,1.0,Sin riesgo,2.9,Sin riesgo
05,Antioquia,05001,Medellín,2015,1.4,Sin riesgo,0.5,Sin riesgo,3.0,Sin riesgo
05,Antioquia,05001,Medellín,2016,2.4,Sin riesgo,0.7,Sin riesgo,4.5,Sin riesgo
05,Antioquia,05001,Medellín,2017,0.9,Sin riesgo,0.4,Sin riesgo,1.8,Sin riesgo
05,Antioquia,05001,Medellín,2018,0.7,Sin riesgo,0.5,Sin riesgo,0.9,Sin riesgo
05,Antioquia,05001,Medellín,2019,2.1,Sin riesgo,1.7,Sin riesgo,2.7,Sin riesgo
05,Antioquia,05001,Medellín,2020,2.2,Sin riesgo,1.3,Sin riesgo,3.3,Sin riesgo
05,Antioquia,05001,Medellín,2021,2.5,Sin riesgo,1.3,Sin riesgo,4.2,Sin riesgo
05,Antioquia,05001,Medellín,2022,2.9,Sin riesgo,1.9,Sin riesgo,6.8,Riesgo bajo
05,Antioquia,05001,Medellín,2023,1.5,Sin riesgo,1.1,Sin riesgo,2.9,Sin riesgo
05,Antioquia,05002,Abejorral,2007,6.4,Riesgo bajo,6.4,Riesgo bajo,ND,ND
05,Antioquia,05002,Abejorral,2008,0,Sin riesgo,0.0,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2009,1.6,Sin riesgo,1.6,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2010,25.2,Riesgo medio,8.6,Riesgo bajo,63.0,Riesgo alto
05,Antioquia,05002,Abejorral,2011,16.2,Riesgo medio,3.1,Sin riesgo,52.1,Riesgo alto
05,Antioquia,05002,Abejorral,2012,1.2,Sin riesgo,1.2,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2013,2,Sin riesgo,2.0,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2014,1,Sin riesgo,1.0,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2015,0.8,Sin riesgo,0.8,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2016,0.4,Sin riesgo,0.4,Sin riesgo,ND,ND
05,Antioquia,05002,Abejorral,2017,2.5,Sin riesgo,2.5,Sin riesgo,ND,ND
